epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1103.06,1.1899,2.32862,1.03381,0.66477,0.72882,0.77618,0.50215,1.11985,2.4422,1.04371,0.000473852,0.000473852,0.000473852
2,2246.47,1.19794,1.40541,1.07032,0.68542,0.75275,0.75928,0.41855,1.42553,1.96709,1.18241,0.000931372,0.000931372,0.000931372
3,3526.58,1.18215,1.07622,1.08108,0.69498,0.66471,0.72238,0.44631,1.22828,1.73154,1.13068,0.00137003,0.00137003,0.00137003
4,4812.26,1.15049,0.90419,1.06132,0.69711,0.75836,0.76666,0.43893,1.36803,1.24048,1.12561,0.00134412,0.00134412,0.00134412
5,6107.61,1.0963,0.81418,1.0434,0.77114,0.70209,0.80069,0.50018,1.26163,1.45858,1.09247,0.00131582,0.00131582,0.00131582
6,7406.47,1.07037,0.76321,1.03466,0.84762,0.87842,0.89584,0.5916,1.1615,0.8654,1.03594,0.00128753,0.00128753,0.00128753
7,8692.29,1.06118,0.7263,1.03624,0.82495,0.80941,0.88917,0.55422,1.17748,0.92384,1.03076,0.00125923,0.00125923,0.00125923
8,9971.26,1.03538,0.68265,1.01827,0.79571,0.86129,0.89879,0.57021,1.25814,0.87881,1.07643,0.00123094,0.00123094,0.00123094
9,11183,1.00852,0.65309,1.00779,0.88773,0.80474,0.90332,0.60665,1.09172,0.87291,1.01059,0.00120265,0.00120265,0.00120265
10,12273.2,0.988,0.62262,1.00496,0.87987,0.76719,0.90564,0.6136,1.1174,0.85092,1.03118,0.00117435,0.00117435,0.00117435
11,13366.7,0.97181,0.62543,0.99843,0.90046,0.86089,0.93209,0.6026,1.21667,0.76177,1.07388,0.00114606,0.00114606,0.00114606
12,14423.5,0.98426,0.58642,1.00382,0.86967,0.88276,0.9241,0.62093,1.13036,0.70713,1.04291,0.00111776,0.00111776,0.00111776
13,15625.6,0.98547,0.59954,1.00255,0.88612,0.92654,0.95148,0.63734,1.17229,0.66811,1.05922,0.00108947,0.00108947,0.00108947
14,16890.1,0.95859,0.58001,0.99734,0.84959,0.91517,0.93609,0.65612,1.04281,0.68902,1.01588,0.00106118,0.00106118,0.00106118
15,18167.1,0.94934,0.55692,0.99025,0.86732,0.9134,0.95016,0.64625,1.10286,0.65622,1.03702,0.00103288,0.00103288,0.00103288
16,19437.5,0.94776,0.56328,0.99108,0.89023,0.93667,0.93412,0.63594,1.10129,0.63511,1.02444,0.00100459,0.00100459,0.00100459
17,20696,0.93302,0.55121,0.98652,0.7889,0.76346,0.85824,0.56871,1.21589,1.06127,1.07239,0.000976293,0.000976293,0.000976293
18,21950.6,0.92543,0.54299,0.9934,0.93477,0.89394,0.95878,0.65649,1.10101,0.62828,1.01669,0.000947999,0.000947999,0.000947999
19,23202.9,0.91347,0.52146,0.97786,0.91457,0.90656,0.95997,0.68525,1.05781,0.60184,1.0014,0.000919704,0.000919704,0.000919704
20,24329.8,0.90197,0.50938,0.97943,0.90211,0.93416,0.95858,0.68085,1.05503,0.60229,1.0067,0.00089141,0.00089141,0.00089141
